-------------------------------------------------------------
|                    DescribeWorkspaces                     |
+-----------+------------+-----------------+----------------+
|  Litorre  |  PENDING   |  wsb-bcdt8jz0f  |  d-906770ef9c  |
|  Sespino1 |  AVAILABLE |  wsb-bcdt8jz0f  |  d-906770ef9c  |
|  Alacosta |  AVAILABLE |  wsb-bcdt8jz0f  |  d-906770ef9c  |
|  Lmart1g  |  AVAILABLE |  wsb-bcdt8jz0f  |  d-906770ef9c  |
|  Sagarci5 |  AVAILABLE |  wsb-bcdt8jz0f  |  d-906770ef9c  |
|  Efcruz   |  STOPPED   |  wsb-49k311w2k  |  d-906770ef21  |
|  Jguti1p  |  AVAILABLE |  wsb-bcdt8jz0f  |  d-906770ef9c  |
|  Jagudel  |  AVAILABLE |  wsb-bcdt8jz0f  |  d-906770ef9c  |
|  Marpere9 |  AVAILABLE |  wsb-bcdt8jz0f  |  d-906770ef9c  |
|  Jvarga2  |  AVAILABLE |  wsb-bcdt8jz0f  |  d-906770ef9c  |
|  Mvanega3 |  AVAILABLE |  wsb-bcdt8jz0f  |  d-906770ef9c  |
|  Etrujil1 |  AVAILABLE |  wsb-bcdt8jz0f  |  d-906770ef9c  |
|  Leanduo  |  STOPPED   |  wsb-49k311w2k  |  d-906770ef21  |
|  Aaristiz |  AVAILABLE |  wsb-bcdt8jz0f  |  d-906770ef9c  |
|  Jgonz3d  |  AVAILABLE |  wsb-bcdt8jz0f  |  d-906770ef9c  |
|  Jrivera7 |  AVAILABLE |  wsb-bcdt8jz0f  |  d-906770ef9c  |
|  Gperezlo |  AVAILABLE |  wsb-bcdt8jz0f  |  d-906770ef9c  |
|  Osmyogi  |  STOPPED   |  wsb-49k311w2k  |  d-906770ef21  |
|  Kmonteir |  STOPPED   |  wsb-bcdt8jz0f  |  d-9067714e9d  |
|  Ajime1   |  AVAILABLE |  wsb-bcdt8jz0f  |  d-906770ef9c  |
|  Marlope6 |  AVAILABLE |  wsb-bcdt8jz0f  |  d-906770ef9c  |
|  Natacano |  AVAILABLE |  wsb-bcdt8jz0f  |  d-906770ef9c  |
|  Obguisao |  AVAILABLE |  wsb-bcdt8jz0f  |  d-906770ef9c  |
|  Jmarqu1  |  AVAILABLE |  wsb-bcdt8jz0f  |  d-906770ef9c  |
|  Moospina |  AVAILABLE |  wsb-bcdt8jz0f  |  d-906770ef9c  |
|  Dnavarr4 |  AVAILABLE |  wsb-bcdt8jz0f  |  d-906770ef9c  |
|  Mamolina |  AVAILABLE |  wsb-bcdt8jz0f  |  d-906770ef9c  |
|  Stemayor |  AVAILABLE |  wsb-bcdt8jz0f  |  d-906770ef9c  |
|  Gespino3 |  STOPPED   |  wsb-bcdt8jz0f  |  d-906770ef9c  |
|  Juospina |  AVAILABLE |  wsb-bcdt8jz0f  |  d-906770ef9c  |
|  Juagome  |  AVAILABLE |  wsb-bcdt8jz0f  |  d-906770ef9c  |
|  Mcastano |  AVAILABLE |  wsb-bcdt8jz0f  |  d-906770ef9c  |
|  Sforonda |  AVAILABLE |  wsb-bcdt8jz0f  |  d-906770ef9c  |
|  Vbarrille|  STOPPED   |  wsb-49k311w2k  |  d-906770ef21  |
|  Kgiraldo |  AVAILABLE |  wsb-bcdt8jz0f  |  d-906770ef9c  |
|  Gerpere1 |  AVAILABLE |  wsb-bcdt8jz0f  |  d-906770ef9c  |
|  Rfalcao  |  STOPPED   |  wsb-49k311w2k  |  d-906770ef21  |
|  Mgarc1i  |  AVAILABLE |  wsb-bcdt8jz0f  |  d-906770ef9c  |
|  Sotorre  |  AVAILABLE |  wsb-bcdt8jz0f  |  d-906770ef9c  |
